id,line,understand,techDiff,has-concept,has-fact,has-template,api,#LearnedPLs,#LearnedAPIs,debugConf,numAnTypes,stageNum,AnyTechDiff,BadOLTemplate (mislabeled projection template as interaction template),Bad Natural fact (suggested trigrams function not ngrams function)
69,L1 - D3,4.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L2 - D3,4.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L3 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L4 - D3,1.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L6 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L7 - D3,3.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L9 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L10 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L12 - D3,3.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L13 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L14 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L16 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L17 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L18 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L19 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L20 - D3,4.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L22 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L23 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L25 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L26 - D3,5.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
69,L28 - D3,2.0,false,false,true,true,D3,"2-4","2-4",4.0,2.0,2,false,false,false
